value,is_slotted,id,sku,slug,color,category,image_url,product_type,release_date,release_date_year,variation_id,box_condition,used_image_url,cheapest_product,product_condition,count_for_product_condition,goat_url
Kobe 11 ALT 'Tumbled Grey',False,93563,880463 079,kobe-11-alt-880463-079,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/055/522/994/original/93563_00.png.png,sneakers,20170401,2017,a0995b15-4852-4e17-9af3-f28562d9a822,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-11-alt-880463-079
Kobe 10 'Liberty',False,31490,705317 002,kobe-10-705317-002,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/070/093/570/original/31490_00.png.png,sneakers,20151111,2015,62025e96-ddb9-4db1-b3ea-b9e117e82a64,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-10-705317-002
Kobe A.D. 2018 'Black Toe',False,475903,AR5515 100,kobe-a-d-black-toe-ar5515-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/211/598/original/475903_00.png.png,sneakers,20181129,2018,da8dc853-69e9-4268-a36d-2a2b142b9dab,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-black-toe-ar5515-100
Kobe A.D. 'City of Compton',False,126717,942301 900,kobe-a-d-city-of-compton-942301-900,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/337/930/original/126717_00.png.png,sneakers,20170412,2017,7ec8f163-283c-40ed-a72c-b6df7fdaa168,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-city-of-compton-942301-900
Zoom Kobe 4 'Prelude',False,13268,639693 500,zoom-kobe-4-prelude-prelude-4-639693-500,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/016/020/original/639693_500.png.png,sneakers,20131228,2013,70eb0e8d-01d1-4f94-a1fd-272849661eae,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-4-prelude-prelude-4-639693-500
Zoom Kobe 7 X 'Black Wolf Grey',False,29294,488370 001,nike-zoom-kobe-7,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/050/367/874/original/29294_00.png.png,sneakers,20120204,2012,c1a35943-30d3-425f-942e-1af4a7baf3f0,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/nike-zoom-kobe-7
Kobe A.D. Mid 'Flight Silver',False,501768,942521 001,kobe-a-d-tb-flight-silver-942521-001,silver,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/022/119/664/original/942521_001.png.png,sneakers,,,072102c1-28c9-44f6-a5fb-8571cfc66b84,no_original_box,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-tb-flight-silver-942521-001
Kobe A.D. 2018 iD,False,533125,AQ3740 XXX,kobe-a-d-2018-id-aq3740-xxx,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/023/888/803/original/AQ3740_XXX.png.png,sneakers,,,fc837d64-26fb-4101-9b07-81a6c73cc7fa,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-2018-id-aq3740-xxx
Kobe A.D. Exodus TB 'Wolf Grey',False,532033,AT3874 003,kobe-a-d-wolf-grey-at3874-003,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/390/792/original/532033_00.png.png,sneakers,,,68438e5d-5253-483e-8ed6-889cfbc8675a,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-wolf-grey-at3874-003
Kobe 9 EM 'Bright Mango',False,13132,646701 880,kobe-9-646701-880,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/044/126/725/original/13132_00.png.png,sneakers,20140828,2014,fc6e7bfc-fa42-4e0f-8b19-ae3ad67a7a25,good_condition,,,new_no_defects,0,https://www.goat.com/sneakers/kobe-9-646701-880
