value,is_slotted,id,sku,slug,color,category,image_url,release_date,product_type,release_date_year,variation_id,discount_tag,box_condition,product_condition,count_for_product_condition,goat_url
Kobe 8 Protro 'Halo',False,1223929,FJ9364 100,kobe-8-protro-triple-white-fj9364-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/092/345/652/original/1223929_00.png.png,20230823,sneakers,2023,a360bc8f-0d5b-4966-807f-478660d401ad,under_retail,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-8-protro-triple-white-fj9364-100
Zoom Kobe 6 Protro 'Grinch',False,631511,CW2190 300,zoom-kobe-6-protro-grinch-cw2190-300,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/050/505/599/original/631511_00.png.png,20201224,sneakers,2020,23a19e22-41f1-486c-a577-63b470553558,,good_condition,new_no_defects,101,https://www.goat.com/sneakers/zoom-kobe-6-protro-grinch-cw2190-300
Zoom Kobe 6 Protro 'Reverse Grinch',False,1124766,FV4921 600,zoom-kobe-6-protro-reverse-grinch-fv4921-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/094/562/515/original/FV4921_600.png.png,20231216,sneakers,2023,0f6e4945-af0f-4777-8d5f-c61fdf8176ee,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-protro-reverse-grinch-fv4921-600
Zoom Kobe 6 Protro 'Mambacita Sweet Sixteen',False,773881,CW2190 002,zoom-kobe-6-protro-mamba-forever-cw2190-002,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/071/658/139/original/773881_00.png.png,20220501,sneakers,2022,f312b80d-1211-4e57-9072-92c45cf58eb8,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-protro-mamba-forever-cw2190-002
Undefeated x Zoom Kobe 5 Protro 'Hall Of Fame',False,672346,DA6809 700,undefeated-x-zoom-kobe-5-protro-hall-of-fame-da6809-700,gold,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/049/464/699/original/672346_00.png.png,20210512,sneakers,2021,1520b084-7666-42f2-a9a6-81dc063b6b18,,good_condition,new_no_defects,101,https://www.goat.com/sneakers/undefeated-x-zoom-kobe-5-protro-hall-of-fame-da6809-700
Zoom Kobe 5 Protro ‘Bruce Lee’,False,628376,CD4991 700,zoom-kobe-5-protro-alternative-bruce-lee-cd4991-700,yellow,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/046/355/077/original/628376_00.png.png,20201124,sneakers,2020,191e1246-efa1-4d7b-9cfb-c173e91170a0,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-protro-alternative-bruce-lee-cd4991-700
Zoom Kobe 6 Protro 'All Star',False,630772,DH9888 600,zoom-kobe-6-protro-all-star-dh9888-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/050/195/329/original/630772_00.png.png,20210315,sneakers,2021,cf3d4b5a-fcf9-408e-97ca-3593231711a7,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-protro-all-star-dh9888-600
Zoom Kobe 4 Protro 'Mambacita',False,1109126,FJ9363 100,zoom-kobe-4-protro-white-gold-emerald-fj9363-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/087/922/116/original/1109126_00.png,20230501,sneakers,2023,ad914f03-b9fd-4dba-b02d-69641d55fe35,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-4-protro-white-gold-emerald-fj9363-100
Kobe 11 'Fundamental',False,70411,836183 100,kobe-11-em-836183-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/001/188/043/original/836183_100.png,20160924,sneakers,2016,31e8639a-3972-45f3-856b-94654044c221,,good_condition,used,10,https://www.goat.com/sneakers/kobe-11-em-836183-100
Zoom Kobe 6 GS 'All Star - Orange County',False,24766,429913 800,kobe-6-gs-429913-800,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/033/021/original/429913_800.png.png,,sneakers,,5baf2ac8-dbfb-468d-aabf-b9602a130511,,no_original_box,used,2,https://www.goat.com/sneakers/kobe-6-gs-429913-800
Kobe 8 Protro GS 'Halo',False,1264215,FN0266 100,kobe-8-protro-gs-triple-white-fn0266-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/093/048/641/original/1264215_00.png.png,20230823,sneakers,2023,dbee6ebb-b84d-49f5-bc30-d30710661dcf,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-8-protro-gs-triple-white-fn0266-100
Zoom Kobe 5 Protro 'Big Stage',False,589625,CT8014 100,kobe-5-protro-big-stage-2020-ct8014-100,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/147/229/original/589625_00.png.png,20200823,sneakers,2020,4bcb804d-d306-4db4-bf61-7fa9ebea1955,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-5-protro-big-stage-2020-ct8014-100
Zoom Kobe Venomenon 5 'Black',False,296002,749884 001,zoom-kobe-venomenon-5-749884-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/153/950/original/296002_00.png.png,20150103,sneakers,2015,c3a06dfe-bb03-400c-b533-e1e36afd404e,,no_original_box,used,1,https://www.goat.com/sneakers/zoom-kobe-venomenon-5-749884-001
Kobe 11 GS 'TV',False,52674,822945 002,kobe-11-gs-tv-822945-002,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/586/193/original/822945_002.png.png,20160527,sneakers,2016,30b81993-ea26-4d57-aab9-4e1ed6058021,,no_original_box,used,1,https://www.goat.com/sneakers/kobe-11-gs-tv-822945-002
Zoom Kobe 5 Protro 'Alternate Bruce Lee',False,639895,CD4991 101,zoom-kobe-5-protro-alternate-bruce-lee-cd4991-101,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/266/654/original/639895_00.png.png,20201124,sneakers,2020,128d5811-920c-4e1a-8b3f-211085924122,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-protro-alternate-bruce-lee-cd4991-101
Zoom Kobe 6 Protro 'White Del Sol',False,635296,CW2190 100,zoom-kobe-6-protro-del-sol-cw2190-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/053/488/796/original/635296_00.png.png,20210614,sneakers,2021,71e68f3e-2f04-415a-80ac-b6795e198481,,good_condition,new_no_defects,101,https://www.goat.com/sneakers/zoom-kobe-6-protro-del-sol-cw2190-100
Kobe 8 'Challenge Red',False,13296,555035 600,kobe-8-system-challenge-red-555035-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/053/871/249/original/13296_00.png.png,20130615,sneakers,2013,8ad4dc52-b1c3-4497-af9e-2b92c4248b4a,,good_condition,used,9,https://www.goat.com/sneakers/kobe-8-system-challenge-red-555035-600
Zoom Kobe Venomenon 5 'University Gold',False,29279,749884 706,venomenon-5,yellow,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/066/251/766/original/29279_00.png.png,,sneakers,,a7c14ba2-2e56-4259-ae6d-b1014d8cfbb8,,no_original_box,used,1,https://www.goat.com/sneakers/venomenon-5
Kobe A.D. 'Chrome',False,100363,852425 110​,kobe-a-d-chrome-852425-110,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/002/084/293/original/852425_110%E2%80%8B.png,,sneakers,,9961ebf8-ce8a-4829-9dc6-bbc292dc884f,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-chrome-852425-110
Zoom Kobe 6 GS 'Concord',False,25505,429913 100,kobe-6-gs-429913-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/033/017/original/429913_100.png.png,,sneakers,,03c43758-7138-4bfc-bd67-27ae68539496,,no_original_box,used,1,https://www.goat.com/sneakers/kobe-6-gs-429913-100
Zoom Kobe 6 'Think Pink',False,25061,429659 601,zoom-kobe-6-429659-601,pink,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/045/596/705/original/25061_00.png.png,20110826,sneakers,2011,25f15db6-388d-4ee2-b865-675a8995e9b9,,badly_damaged,used,3,https://www.goat.com/sneakers/zoom-kobe-6-429659-601
Zoom Kobe 5 Protro 'EYBL',False,651439,CD4991 300,zoom-kobe-5-protro-eybl-cd4991-300,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/084/179/184/original/651439_00.png.png,20200829,sneakers,2020,fa894b9b-dab3-4370-a569-4ad5f2fe561d,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-protro-eybl-cd4991-300
Undefeated x Zoom Kobe 5 Protro 'What If Pack' Special Box,False,672783,DB5551 900,undefeated-x-zoom-kobe-5-protro-what-if-pack-special-box-undft-kobe-5-what-if-pack,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/057/273/955/original/672783_00.png.png,20200827,sneakers,2020,0bcb27eb-84aa-432d-9ff7-82e8bc6e449d,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/undefeated-x-zoom-kobe-5-protro-what-if-pack-special-box-undft-kobe-5-what-if-pack
Zoom Kobe 6 Protro GS 'Reverse Grinch',False,1279461,FV9676 600,zoom-kobe-6-protro-gs-reverse-grinch-fv9676-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/092/725/167/original/FV9676_600.png.png,20231216,sneakers,2023,71c7df4e-1dfe-41e6-8a69-686b98fb5f7b,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-protro-gs-reverse-grinch-fv9676-600
Wmns Kobe 8 iD,False,790709,586181 XXX,wmns-kobe-8-system-id-586181-xxx,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/093/026/370/original/586181_XXX.png.png,20121220,sneakers,2012,dff54dcf-9741-4cf7-8df8-9d367edbc13a,,no_original_box,used,1,https://www.goat.com/sneakers/wmns-kobe-8-system-id-586181-xxx
Zoom Kobe 5 Protro '5x Champ',False,599997,CD4991 500,zoom-kobe-5-protro-lakers-cd4991-500,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/806/488/original/599997_00.png.png,20200824,sneakers,2020,9e3eabfa-343e-4c14-98b4-5af3bc33f546,,good_condition,new_no_defects,19,https://www.goat.com/sneakers/zoom-kobe-5-protro-lakers-cd4991-500
Kobe A.D. 'Purple Stardust',False,164172,852425 500,kobe-a-d-purple-stardust-852425-500,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/444/462/original/164172_00.png.png,20170701,sneakers,2017,e7b0c462-dd00-4cc7-ab20-bfad74cbedac,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-purple-stardust-852425-500
Zoom Kobe 6 'White Del Sol',False,24905,429659 103,zoom-kobe-6-429659-103,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/990/original/429659_103.png.png,20110401,sneakers,2011,c4c1881c-d2de-45bd-a8ac-aaba3f529dba,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-429659-103
Kobe 6 Protro 'EYBL',False,778964,DM2825 001,kobe-6-protro-eybl-dm2825-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/085/438/353/original/778964_00.png.png,,sneakers,,00ab2a85-d6bc-41d0-99f8-2dc783bf29d3,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-6-protro-eybl-dm2825-001
Kobe 10 GS '5AM Flight',False,9551,726067 403,kobe-x-kids-basketball-shoe-726067-403,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/011/619/original/726067403.png.png,,sneakers,,70d0b3c8-feda-4bb0-bf03-2187991d8a07,,no_original_box,used,1,https://www.goat.com/sneakers/kobe-x-kids-basketball-shoe-726067-403
Zoom Kobe 7 System TB 'Black',False,72162,517359 005,zoom-kobe-7-system-tb-517359-005,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/049/528/494/original/517359_005.png.png,20120918,sneakers,2012,d083f455-073b-4578-94cd-b58a0e5755e0,,no_original_box,used,1,https://www.goat.com/sneakers/zoom-kobe-7-system-tb-517359-005
Kobe 8 GS 'Supernatural',False,454683,555586 300,kobe-8-gs-atomic-teal-555586-300,teal,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/014/819/393/original/555586_300.png.png,20130302,sneakers,2013,1741c60f-859b-45f5-9629-dc21b8afc39f,,no_original_box,used,3,https://www.goat.com/sneakers/kobe-8-gs-atomic-teal-555586-300
Zoom Kobe 6 'Grinch',False,13353,429659 701,zoom-kobe-6-grinch-429659-701,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/019/491/original/13353_00.png.png,20101225,sneakers,2010,47db87ca-c808-4cef-af91-898d3042ae19,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-grinch-429659-701
Zoom Kobe 5 Protro 'Chaos',False,558317,CD4991 100,zoom-kobe-5-protro-chaos-cd4991-100,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/644/418/original/558317_00.png.png,20200103,sneakers,2020,cedc79f5-178c-4b16-ba22-a6c2df896076,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-protro-chaos-cd4991-100
Kobe 11 'Carpe Diem',False,52224,836183 015,kobe-11-carpe-diem-836183-015,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/057/243/216/original/52224_00.png.png,20160521,sneakers,2016,b2cab416-0dd1-4f02-b0ee-a9907e1cfcc6,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-11-carpe-diem-836183-015
The Kobe 2 'White',False,28311,677393 10,kobe-adidas,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/024/033/original/677393_10.png.png,,sneakers,,ea800f1b-0b87-475d-8e56-4c2e222d47a3,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-adidas
Zoom Kobe 7 System 'Concord',False,26234,488371 402,zoom-kobe-7-system-488371-402,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/055/176/047/original/26234_00.png.png,20120519,sneakers,2012,2056305e-a2ba-4f9b-a2e9-459d9d845c4e,,no_original_box,used,2,https://www.goat.com/sneakers/zoom-kobe-7-system-488371-402
Kobe 9 EM 'Easter',False,13040,646701 300,kobe-9-em-easter-646701-300,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/070/686/400/original/13040_00.png.png,20140418,sneakers,2014,90fd95e2-e890-41ad-9f74-a5e2f33f7ce6,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-9-em-easter-646701-300
Kobe 11 GS 'Team USA',False,150131,822945 184,kobe-11-gs-team-usa-822945-184,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/003/861/264/original/822945_184.png,20160718,sneakers,2016,57763f2b-e012-4f60-8937-431caea26b8d,,no_original_box,used,2,https://www.goat.com/sneakers/kobe-11-gs-team-usa-822945-184
Zoom Kobe 6 'Vault Anniversary',False,414853,446897 992,zoom-kobe-6-vault-anniversary-446897-992,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/013/514/914/original/446897_992.png.png,20110917,sneakers,2011,e75cad45-c7e6-434e-867d-83c286928f42,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-vault-anniversary-446897-992
Kobe A.D. GS 'Midnight Navy',False,426677,869987 406,kobe-a-d-gs-midnight-navy-869987-406,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/013/793/049/original/869987_406.png.png,20170201,sneakers,2017,209d198f-a211-4988-b69f-e0e01d834557,,no_original_box,used,2,https://www.goat.com/sneakers/kobe-a-d-gs-midnight-navy-869987-406
Kobe A.D. 2018 'Military Blue',False,494539,AV3555 400,kobe-a-d-2018-military-blue-av3555-400,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/611/235/original/494539_00.png.png,20190201,sneakers,2019,5f441815-f612-4563-bd42-eed8ee454e82,under_retail,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-2018-military-blue-av3555-400
Zoom Kobe 6 'Dark Knight',False,25208,429659 016,zoom-kobe-6-dark-knight-429659-016,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/159/938/original/25208_00.png.png,20111121,sneakers,2011,f6a1cd32-d286-426c-b286-89a411d40d37,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-dark-knight-429659-016
Kobe A.D. 'Flip the Switch',False,144535,852425 004,kobe-a-d-flip-the-switch-852425-004,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/723/773/original/144535_00.png.png,20170505,sneakers,2017,fcf13f3d-ab41-42cc-b272-6ed10dcd5c06,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-flip-the-switch-852425-004
Kobe 10 'Easter',False,14443,705317 808,nike-kobe-10-easter-705317-808,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/062/363/364/original/705317_808.png.png,20150402,sneakers,2015,84753116-d213-4e90-a8ba-5d1b1afdfeda,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/nike-kobe-10-easter-705317-808
Zoom Kobe 5 'Dark Knight',False,24066,386429 001,zoom-kobe-5-dark-knight-386429-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/459/399/original/24066_00.png.png,20100122,sneakers,2010,7c1e3cf6-23e9-4f16-87a7-8bcd21338512,,good_condition,new_with_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-dark-knight-386429-001
Zoom Kobe 5 Protro 'DeMar DeRozan' PE,False,682296,CD4991 003,zoom-kobe-5-protro-zebra-cd4991-003,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/042/836/051/original/682296_00.png.png,20200918,sneakers,2020,9b559e76-d71e-4566-8b26-1bfab253cb4f,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-protro-zebra-cd4991-003
Zoom Kobe 5 Protro '5 Rings',False,677052,CD4991 400,zoom-kobe-5-protro-5-rings-cd4991-400,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/043/570/562/original/677052_00.png.png,20201015,sneakers,2020,4e1f105a-2598-47e9-9668-5ef5b55a4a93,,good_condition,new_no_defects,68,https://www.goat.com/sneakers/zoom-kobe-5-protro-5-rings-cd4991-400
Zoom Kobe 6 Protro 'Mambacita Sweet Sixteen' Special Box,False,943758,CW2190 002 SB,zoom-kobe-6-protro-mambacita-sweet-sixteen-special-box-cw2190-002-sb,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/199/267/original/943758_00.png.png,20220501,sneakers,2022,1160d4d1-76e5-416c-a4a8-b06637011410,,good_condition,used,1,https://www.goat.com/sneakers/zoom-kobe-6-protro-mambacita-sweet-sixteen-special-box-cw2190-002-sb
Zoom Kobe 5 'White Del Sol',False,49099,386429 104,zoom-kobe-5-386429-104,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/016/119/896/original/386429_104.png.png,20101005,sneakers,2010,2dcc2d2d-64f4-4b6c-b852-28dc23660f7f,,no_original_box,used,1,https://www.goat.com/sneakers/zoom-kobe-5-386429-104
Kobe 8 Protro PS 'Halo',False,1264214,FN0267 100,kobe-8-protro-ps-triple-white-fn0267-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/091/839/985/original/FN0267_100.png.png,20230823,sneakers,2023,8287fd72-80ba-4d2a-b909-fe9b3f405ac5,under_retail,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-8-protro-ps-triple-white-fn0267-100
Zoom Kobe 6 'All Star',False,24682,448693 600,zoom-kobe-6-all-star-all-star-448693-600,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/159/758/original/24682_00.png.png,20110217,sneakers,2011,c35a7736-6dcc-4d8a-bd57-ef4614f247bc,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-all-star-all-star-448693-600
Kobe Mentality,False,141184,704942 300,kobe-mentality-704942-300,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/003/738/402/original/704942_300.png.png,,sneakers,,7449466f-d9e0-4ec6-8336-d895f7f67474,,no_original_box,used,1,https://www.goat.com/sneakers/kobe-mentality-704942-300
Kobe 10 EP 'Easter',False,839591,745334 808,kobe-10-ep-easter-745334-808,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/062/363/365/original/745334_808.png.png,20150402,sneakers,2015,be74ba65-4454-4dd1-8bea-d23de501b2de,,no_original_box,used,1,https://www.goat.com/sneakers/kobe-10-ep-easter-745334-808
Kobe A.D. TB 'Black Silver',False,498342,AT3874 001,kobe-a-d-tb-black-silver-at3874-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/390/642/original/498342_00.png.png,,sneakers,,9a16b13d-9add-4e86-8118-07e6eb804530,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-tb-black-silver-at3874-001
Kobe 9 EM GS 'Laser Crimson',False,29916,653593 001,kobe-9-em-gs-laser-crimson-653593-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/083/012/original/653593_001.png.png,,sneakers,,8ce772e4-efd8-4e91-84a1-f3204e3c0096,,no_original_box,used,2,https://www.goat.com/sneakers/kobe-9-em-gs-laser-crimson-653593-001
Kobe 11 Elite Low 'Bruce Lee',False,44864,822675 706,kobe-11-bruce-lee-822675-706,yellow,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/453/585/original/44864_00.png.png,20160319,sneakers,2016,3a5bc000-68ce-442d-bd10-351fba9500de,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-11-bruce-lee-822675-706
Kobe 9 Elite 'Hero',False,13038,630847 005,kobe-9-elite-hero-630847-005,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/017/049/original/630847_005.png.png,20140509,sneakers,2014,841928e1-d618-4fd3-b413-26947b59b5b0,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-9-elite-hero-630847-005
Kobe AD NXT 360 'Yellow Strike',False,356509,AQ1087 700,kobe-ad-nxt-360-aq1087-700,yellow,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/714/618/original/356509_00.png.png,20180524,sneakers,2018,cd48e0d9-1108-4d79-b15a-f6b68e04125a,,good_condition,new_no_defects,7,https://www.goat.com/sneakers/kobe-ad-nxt-360-aq1087-700
Kobe A.D. NXT 360 'White Multicolor',False,416710,AQ1087 102,kobe-a-d-nxt-360-aq1087-102,multi-color,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/019/004/original/416710_00.png.png,20180801,sneakers,2018,0ad308a2-62cf-49be-9dfd-3c206ba318d2,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-nxt-360-aq1087-102
Kobe 11 'Lower Merion',False,49799,836183 006,kobe-11-lower-merion-836183-006,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/080/337/897/original/49799_00.png.png,20160409,sneakers,2016,0f294ada-8ddb-4a4d-be5a-c33e8dffb16b,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-11-lower-merion-836183-006
Kobe 8 'Year of the Horse',False,13244,639654 674,kobe-8-year-of-the-horse-639654-674,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/017/111/original/639654_674.png.png,20140101,sneakers,2014,5da43b38-52c5-4f79-8394-2d7f7a990f17,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-8-year-of-the-horse-639654-674
Kobe 6 GS 'Grinch',False,24622,429913 300,kobe-6-gs-grinch-429913-300,yellow,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/033/018/original/429913_300.png.png,,sneakers,,59a0046f-2b54-42fa-bb9f-f65b110c9bfd,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-6-gs-grinch-429913-300
Kobe A.D. Exodus TB Promo 'Orange Blaze',False,534950,AT3874 804,kobe-a-d-tb-promo-orange-blaze-at3874-804,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/082/584/727/original/534950_00.png.png,,sneakers,,43211daf-de59-4a04-83b3-c955fc45399c,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-tb-promo-orange-blaze-at3874-804
Kobe 9 Em GS 'Independence Day',False,13230,653593 100,kobe-9-em-gs-independence-day-653593-100,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/017/183/original/653593_100.png.png,,sneakers,,2820db41-5ddc-499e-882e-0478497117fd,,no_original_box,used,6,https://www.goat.com/sneakers/kobe-9-em-gs-independence-day-653593-100
Zoom Kobe 5 'Black Out',False,24544,386429 003,zoom-kobe-5-black-out-386429-003,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/663/original/386429_003.png.png,20100116,sneakers,2010,a2f10e0f-5828-422c-b8aa-ed0c70f2f715,,good_condition,used,3,https://www.goat.com/sneakers/zoom-kobe-5-black-out-386429-003
Kobe 10 'Flight',False,14840,705317 308,nike-kobe-10-flight-705317-308,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/065/993/388/original/14840_00.png.png,20150501,sneakers,2015,ee1b6f62-16e5-45bc-be72-d24aeae46872,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/nike-kobe-10-flight-705317-308
Kobe 8 'Green Glow',False,15221,555035 304,kobe-8-b870adcc-63ef-41de-a46f-298538594e9b,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/069/341/778/original/15221_00.png.png,20131202,sneakers,2013,8299562e-6b50-4625-9475-7b6e046adf35,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-8-b870adcc-63ef-41de-a46f-298538594e9b
Zoom Kobe 5 'Playoff Carpe Diem',False,24178,395780 001,zoom-kobe-5-pop-395780-001,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/042/996/467/original/24178_00.png.png,20100417,sneakers,2010,9064e881-59e3-4381-afbc-52494508e882,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-5-pop-395780-001
Zoom Kobe 6 'Lower Merion Aces',False,25131,429659 017,zoom-kobe-6-lower-merion-aces-429659-017,grey,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/032/987/original/429659_017.png.png,20110910,sneakers,2011,66d095eb-5a10-4746-9261-008ceb551f13,,badly_damaged,new_with_defects,0,https://www.goat.com/sneakers/zoom-kobe-6-lower-merion-aces-429659-017
Kobe 10 'Overcome',False,29833,705317 305,kobe-10-peach-jam-705317-305,purple,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/000/551/836/original/705317_305_.png,20150827,sneakers,2015,0c4f83ef-421d-4fe5-816d-8764d1576cb9,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-10-peach-jam-705317-305
Zoom Kobe 4 Protro 'Snakeskin',False,555126,AV6339 002,zoom-kobe-4-protro-snakeskin-av6339-002,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/079/499/640/original/555126_00.png.png,20191102,sneakers,2019,ddb294e4-8784-4929-b6ce-cd9c865efa19,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/zoom-kobe-4-protro-snakeskin-av6339-002
Kobe A.D. 2018 'White Toe',False,483213,AR5515 002,kobe-a-d-2018-white-toe-ar5515-002,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/081/439/964/original/AR5515_002.png,20181128,sneakers,2018,0d9b1148-9217-4784-a04c-d62494a9b445,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-a-d-2018-white-toe-ar5515-002
Kobe 11 Elite Low 'Last Emperor',False,41672,822675 105,kobe-11-822675-105,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/714/008/original/41672_00.png.png,20160204,sneakers,2016,9d2b2b82-bb40-4a11-b7a3-f2e2df720589,,good_condition,new_no_defects,0,https://www.goat.com/sneakers/kobe-11-822675-105
