value,is_slotted,id,sku,slug,color,category,image_url,release_date,product_type,release_date_year,variation_id,discount_tag,box_condition,product_condition,count_for_product_condition,goat_url
Kobe 8 Protro 'White Metallic Gold',False,1261772,FV6325 100,kobe-8-protro-white-metallic-gold-fv6325-100,white,shoes,,,sneakers,,MASTER_VARIATION_1261772_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-protro-white-metallic-gold-fv6325-100
Kobe 8 Protro 'Venice Beach' 2024,False,1293117,FQ3548 001,kobe-8-protro-venice-beach-2024-fq3549-007,blue,shoes,https://image.goat.com/750/placeholders/product_templates/medium/missing.png,,sneakers,,MASTER_VARIATION_1293117_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-protro-venice-beach-2024-fq3549-007
Zoom Kobe 6 XDR 'Lakers Home',False,1264952,436311 102,zoom-kobe-6-xdr-lakers-home-436311-102,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/091/839/923/original/436311_102.png.png,20111001,sneakers,2011,MASTER_VARIATION_1264952_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-6-xdr-lakers-home-436311-102
Kobe 8 'Barcelona' Sample,False,1160314,FA13 MNBSKT 971,kobe-8-system-barcelona-look-see-sample-fa13-mnbskt-971,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/093/026/414/original/FA13_MNBSKT_971.png.png,,sneakers,,MASTER_VARIATION_1160314_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-system-barcelona-look-see-sample-fa13-mnbskt-971
Kobe 8 PS 'Superhero',False,715108,555585 301,kobe-8-ps-superhero-555585-301,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/047/377/215/original/555585_301.png.png,20130427,sneakers,2013,MASTER_VARIATION_715108_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-ps-superhero-555585-301
Zoom Kobe 6 Protro '3D Lakers',False,704167,CW2190 101,zoom-kobe-6-protro-3d-lakers-cw2190-101,yellow,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/051/135/771/original/CW2190_101.png.png,,sneakers,,MASTER_VARIATION_704167_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-6-protro-3d-lakers-cw2190-101
Kobe 8 TB 'White Navy',False,600447,599520 107,kobe-8-system-tb-white-navy-599520-107,white,shoes,,20131016,sneakers,2013,MASTER_VARIATION_600447_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-system-tb-white-navy-599520-107
Zoom Kobe 6 Protro 'Italian Camo',False,1256151,FQ3546 001,zoom-kobe-6-protro-italian-camo-fq3546-001,green,shoes,,,sneakers,,MASTER_VARIATION_1256151_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-6-protro-italian-camo-fq3546-001
Kobe 8 'Duke' PE,False,1120559,SP13 MNBSKT 145 383810 Y3,kobe-8-duke-pe-sp13-mnbskt-145-383810-y3,blue,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/731/678/original/SP13_MNBSKT_145_383810_Y3.png.png,,sneakers,,MASTER_VARIATION_1120559_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-duke-pe-sp13-mnbskt-145-383810-y3
Crazy 1 'Wonder White',False,1269618,IG5895,crazy-1-wonder-white-ig5895,cream,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/092/140/835/original/IG5895.png.png,20231015,sneakers,2023,df8e96c0-41cd-4ccc-9a54-13872e994134,under_retail,good_condition,new_no_defects,0,https://www.goat.com/sneakers/crazy-1-wonder-white-ig5895
Air Jordan 9 Retro 'Kobe',False,78644,302370 121,air-jordan-9-retro-kobe-302370-121,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/078/080/931/original/78644_00.png.png,20161119,sneakers,2016,84869f99-f8bb-467c-bd8d-ee8faafec739,,good_condition,new_no_defects,9,https://www.goat.com/sneakers/air-jordan-9-retro-kobe-302370-121
Zoom Kobe 5 XDR 'Varsity Red',False,1122549,386430 161,zoom-kobe-5-xdr-varsity-red-386430-161,white,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/083/803/230/original/386430_161.png.png,20100101,sneakers,2010,MASTER_VARIATION_1122549_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/zoom-kobe-5-xdr-varsity-red-386430-161
Kobe 8 'Challenge Red' Sample,False,624550,SP13 MBSKT 511 378006,kobe-8-system-sample-sp13-mbskt-511-378006,red,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/093/026/526/original/SP13_MBSKT_511_378006.png.png,20130615,sneakers,2013,MASTER_VARIATION_624550_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-system-sample-sp13-mbskt-511-378006
Kobe 8 TB 'Black White',False,693265,599520 002,kobe-8-system-tb-black-white-599520-002,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/043/581/693/original/599520_002.png.png,20131016,sneakers,2013,MASTER_VARIATION_693265_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-system-tb-black-white-599520-002
Kobe 8+ 'All Star - Extraterrestrial' Sample,False,598686,SP13 MNBSKT 741 358810,kobe-8-system-all-star-extraterrestrial-sample-sp13-mnbskt-741-358810,orange,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/032/909/949/original/SP13_MNBSKT_741_358810.png.png,20130215,sneakers,2013,MASTER_VARIATION_598686_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-system-all-star-extraterrestrial-sample-sp13-mnbskt-741-358810
Kobe 8 TB 'Gorge Green',False,696057,599520 105,kobe-8-system-tb-what-the-kd-pe-599520-105,green,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/056/620/758/original/599520_105.png.png,20131016,sneakers,2013,MASTER_VARIATION_696057_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-system-tb-what-the-kd-pe-599520-105
Kobe 8 TB 'White Gym Red',False,652340,599520 106,kobe-8-system-tb-white-gym-red-599520-106,white,shoes,,20131016,sneakers,2013,MASTER_VARIATION_652340_SALES_CHANNEL_1,,,,,https://www.goat.com/sneakers/kobe-8-system-tb-white-gym-red-599520-106
Crazy 1 'Black' 2023,False,1270589,IG5900,crazy-1-black-2023-ig5900,black,shoes,https://image.goat.com/750/attachments/product_template_pictures/images/094/831/172/original/IG5900.png.png,20231111,sneakers,2023,35ddcb7d-85ad-496d-9f45-41dd051ed1b9,under_retail,good_condition,new_no_defects,0,https://www.goat.com/sneakers/crazy-1-black-2023-ig5900
