@context,@type,name,image,releaseDate,brand,model,sku,color,description,goat_url
http://schema.org,Product,Undefeated x Zoom Kobe 5 Protro 'What If Pack' Special Box,['https://image.goat.com/750/attachments/product_template_pictures/images/057/273/955/original/672783_00.png.png'],2020-08-27T23:59:59.999Z,Nike,Undefeated x Zoom Kobe 5 Protro 'What If Pack' Special Box,DB5551 900,Multi-Color/Multi-Color,"Designed in partnership with the LA-based retailer, the Undefeated x Nike Zoom Kobe 5 Protro ‘What If Pack’ brings together two colorways inspired by Kobe Bryant’s selection in the 1996 NBA Draft. The first pair features various hues taken from the 12 teams that passed on the Mamba, while the second is dressed in the colors of the Charlotte Hornets, the franchise that took the 17-year-old high schooler with the 13th pick. Both are accented with metallic gold detailing that celebrates Bryant’s five championships.",https://www.goat.com/sneakers/undefeated-x-zoom-kobe-5-protro-what-if-pack-special-box-undft-kobe-5-what-if-pack
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,"One of Bryant’s many signature silhouettes outside of his flagship series, the Kobe Mentality is a basketball-inspired lifestyle look known for its artistic graphic prints. The design is dressed in a black-streaked base with a distinct red and yellow overlay. A silver Swoosh and Kobe’s trademark Shozoku logo break up the look up top, while a marbled outsole adds flair underfoot.",https://www.goat.com/sneakers/kobe-mentality-704942-009
http://schema.org,Product,Zoom Kobe 5 Protro 'Big Stage',['https://image.goat.com/750/attachments/product_template_pictures/images/041/565/803/original/589625_00.png.png'],2020-08-23T23:59:59.999Z,Nike,Zoom Kobe 5 Protro 'Big Stage',CT8014 100,White/Metallic Gold/Black,"The Nike Kobe 5 Protro 'Big Stage' gets its name from the shoe that Kobe Bryant wore during the 2010 NBA Finals, which culminated in the Mamba clinching his fifth and final championship with the Lakers. The design combines ‘home’ and ‘away’ editions of the ‘Big Stage’ Kobe 5 with graphic elements borrowed from the ‘Parade’ PE, which cover the lateral side of the left shoe and medial side of the right. Contrasting pops of metallic gold appear on the sneaker’s heel and branding hits.",https://www.goat.com/sneakers/kobe-5-protro-big-stage-2020-ct8014-100
http://schema.org,Product,Kobe 6 GS 'Grinch',['https://image.goat.com/750/attachments/product_template_pictures/images/000/033/018/original/429913_300.png.png'],,Nike,Kobe 6 GS 'Grinch',429913 300,Volt/Black-Green Apple-Crimson,"The Nike Kobe 6 GS ‘Grinch’ was officially named the ‘Green Mamba,’ but its Christmas Day 2010 debut and colorway reminiscent of the iconic curmudgeon led fans to dub it the ‘Grinch.’ The bright green coloring on the shoe’s upper is complemented by a scaly reptilian texture, reflective of Nike’s intention for the design to be a nod to the green mamba—a variation on Kobe’s ‘Black Mamba’ nickname.",https://www.goat.com/sneakers/kobe-6-gs-grinch-429913-300
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Zoom Kobe 6 GS 'Concord' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/kobe-6-gs-429913-100
http://schema.org,Product,Zoom Kobe 6 Protro 'All Star',['https://image.goat.com/750/attachments/product_template_pictures/images/050/195/329/original/630772_00.png.png'],2021-03-15T23:59:59.999Z,Nike,Zoom Kobe 6 Protro 'All Star',DH9888 600,Challenge Red/Black/White,"The Nike Zoom Kobe 6 Protro ‘All Star’ brings back a special-edition colorway that the Mamba himself wore at the 2011 NBA All-Star Game. This updated version of the classic low-top features revised tooling, highlighted by a full-length Cushlon midsole with a large Air Zoom Turbo unit in the forefoot. Up top, polyurethane scales improve the durability of the micro-mesh build, finished in a gradient blend of red and black. Kobe’s signature is printed on the molded heel counter, while his personal logo adorns the tongue.",https://www.goat.com/sneakers/zoom-kobe-6-protro-all-star-dh9888-600
http://schema.org,Product,Kobe 11 'Fundamental',['https://image.goat.com/750/attachments/product_template_pictures/images/001/188/043/original/836183_100.png'],2016-09-24T23:59:59.999Z,Nike,Kobe 11 'Fundamental',836183 100,Black/White-Cool Grey,"The Kobe 11 EM Low ‘Fundamental’ showcases an understated colorway, featuring a white Engineered Mesh upper accented by Cool Grey Flywire technology and a black Swoosh. Underfoot, the low-profile sneaker comes with a full-length drop-in Lunarlon midsole, dense foam at the heel and an icy blue translucent outsole.",https://www.goat.com/sneakers/kobe-11-em-836183-100
http://schema.org,N/A,N/A,['N/A'],N/A,N/A,N/A,N/A,N/A,Shop Zoom Kobe Venomenon 5 'Vivid Purple' on GOAT. Authenticity Assured.,https://www.goat.com/sneakers/zoom-kobe-venomenon-5-vivid-purple-749884-454
http://schema.org,Product,Zoom Kobe 5 Protro 'DeMar DeRozan' PE,['https://image.goat.com/750/attachments/product_template_pictures/images/042/836/051/original/682296_00.png.png'],2020-09-18T23:59:59.999Z,Nike,Zoom Kobe 5 Protro 'DeMar DeRozan' PE,CD4991 003,Wolf Grey/White/Black,"A PE colorway made for San Antonio’s DeMar DeRozan, the Nike Zoom Kobe 5 Protro ‘DeMar DeRozan’ features a neutral palette consistent with the Spurs’ signature palette. The sneaker’s lightweight synthetic upper is covered in a blend of checkerboard and zebra patterns, both rendered in subdued grey and white tones. A glossy black finish is applied to the Nike Swoosh, matching the heel counter marked with Kobe Bryant’s signature.",https://www.goat.com/sneakers/zoom-kobe-5-protro-zebra-cd4991-003
http://schema.org,Product,Kobe 11 'Carpe Diem',['https://image.goat.com/750/attachments/product_template_pictures/images/057/243/216/original/52224_00.png.png'],2016-05-21T23:59:59.999Z,Nike,Kobe 11 'Carpe Diem',836183 015,Black/White-Court Purple-University Gold,"The colorway on this Kobe 11 was originally popularized by the Kobe 4 ‘Carpe Diem’ in 2009 which is credited for kickstarting the transition to low-top footwear on the court. Seven years later, Nike reran the iconic look on this Kobe 11, giving it the same Lakers color scheme, grid stitching along the interior, and translucent sole.",https://www.goat.com/sneakers/kobe-11-carpe-diem-836183-015
